material,lat (AA),rS_A (AA),rP_A (AA),rS_B (AA),rP_B (AA),Z_A (e),Z_B (e),HOMO_A (eV),LUMO_A (eV),EA_A (eV),IP_A (eV),EN_A (eV),HOMO_B (eV),LUMO_B (eV),EA_B (eV),IP_B (eV),EN_B (eV)
LiAlO3,3.66403698,1.68680,2.09990,1.10410,1.43130,3,13,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-2.547095300306,-2.547095387743,-0.308077870308,5.449666311380,2.570794220536
LiTiO3,3.81917965,1.68680,2.09990,1.54120,2.08940,3,22,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-3.667603032050,-3.667603157952,-0.021725201808,7.552223574011,3.765249186102
LiVO3,3.68182602,1.68680,2.09990,1.45970,2.04700,3,23,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-4.798406943350,-4.798407108071,-0.664676976192,7.407416209273,3.371369616541
LiCrO3,3.62100045,1.68680,2.09990,1.42470,2.01210,3,24,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-4.733548486143,-4.733548648638,-1.259830231993,6.979022153017,2.859595960512
LiMnO3,3.58787741,1.68680,2.09990,0.41350,2.18240,3,25,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-4.333466263373,-0.671345464134,-1.423902065558,6.884430469844,2.730264202143
LiFeO3,3.59300666,1.68680,2.09990,1.39120,2.20810,3,26,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-3.836619504771,-3.836619636475,-1.415506591628,7.089031766055,2.836762587214
LiCoO3,3.61257232,1.68680,2.09990,1.38110,1.65750,3,27,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-3.347469515837,-3.347469630750,-1.133799031088,7.525127748251,3.195664358581
LiNiO3,3.65815212,1.68680,2.09990,1.37820,1.61770,3,28,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-2.919817594254,-2.919817694486,-0.680064535054,8.128919800973,3.724427632959
LiCuO3,3.69005430,1.68680,2.09990,1.23610,2.20480,3,29,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-4.362985932102,-4.362986081876,-1.554935144418,7.534909454159,2.989987154871
LiZnO3,3.78283046,1.68680,2.09990,1.11690,1.78990,3,30,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-6.384766005031,-0.880351142307,1.016686332121,9.995763731659,5.506225031890
LiGaO3,3.81238997,1.68680,2.09990,1.00870,1.37830,3,31,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-2.447267344605,-2.447267428616,-0.221448418066,5.403241923784,2.590896752859
LiGeO3,3.69079412,1.68680,2.09990,0.92390,1.18940,3,32,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-3.864142063585,-3.864142196235,-0.978668998444,7.285215454342,3.153273227949
LiZrO3,4.11055459,1.68680,2.09990,1.67180,2.26450,3,40,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-3.230129340890,-3.230129451775,-0.047328544585,7.150603804508,3.551637629961
LiNbO3,3.92523357,1.68680,2.09990,1.58200,2.11090,3,41,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-4.395561840699,-4.395561991591,-0.969575749518,7.291456922287,3.160940586385
LiMoO3,3.84268720,1.68680,2.09990,1.55920,2.24600,3,42,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-4.405289070280,-4.405289221506,-1.713307224028,6.693232569522,2.489962672747
LiTcO3,3.79132549,1.68680,2.09990,1.58880,2.13150,3,43,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-3.015504540133,-3.015504643650,-1.275831727848,7.207933304014,2.966050788083
LiRuO3,3.78556423,1.68680,2.09990,1.55180,2.19700,3,44,-2.874021756226,-2.874021854887,-0.841607613646,5.167974833842,2.163183610098,-3.663439802229,-2.821777985343,-0.586474863883,8.167782092633,3.790653614375
